00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000005|eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000006|eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000006|eax:0040a000, ebx:7ffdd000, ecx:0000006c, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a006]=78      |eax:0040a006, ebx:7ffdd000, ecx:0000006c, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000006|eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000006, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000007|eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a006, ebx:7ffdd000, ecx:00000078, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000007|eax:0040a000, ebx:7ffdd000, ecx:00000078, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a007]=4e      |eax:0040a007, ebx:7ffdd000, ecx:00000078, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000007|eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000007, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000008|eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a007, ebx:7ffdd000, ecx:0000004e, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000008|eax:0040a000, ebx:7ffdd000, ecx:0000004e, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a008]=2b      |eax:0040a008, ebx:7ffdd000, ecx:0000004e, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000008|eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000008, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000009|eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a008, ebx:7ffdd000, ecx:0000002b, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000009|eax:0040a000, ebx:7ffdd000, ecx:0000002b, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a009]=79      |eax:0040a009, ebx:7ffdd000, ecx:0000002b, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000009|eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:00000009, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=0000000a|eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a009, ebx:7ffdd000, ecx:00000079, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=0000000a|eax:0040a000, ebx:7ffdd000, ecx:00000079, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a00a]=63      |eax:0040a00a, ebx:7ffdd000, ecx:00000079, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=0000000a|eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000a, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=0000000b|eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a00a, ebx:7ffdd000, ecx:00000063, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=0000000b|eax:0040a000, ebx:7ffdd000, ecx:00000063, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a00b]=51      |eax:0040a00b, ebx:7ffdd000, ecx:00000063, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=0000000b|eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000b, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=0000000c|eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a00b, ebx:7ffdd000, ecx:00000051, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=0000000c|eax:0040a000, ebx:7ffdd000, ecx:00000051, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a00c]=59      |eax:0040a00c, ebx:7ffdd000, ecx:00000051, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=0000000c|eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000c, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=0000000d|eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a00c, ebx:7ffdd000, ecx:00000059, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=0000000d|eax:0040a000, ebx:7ffdd000, ecx:00000059, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a00d]=47      |eax:0040a00d, ebx:7ffdd000, ecx:00000059, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=0000000d|eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000d, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=0000000e|eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a00d, ebx:7ffdd000, ecx:00000047, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=0000000e|eax:0040a000, ebx:7ffdd000, ecx:00000047, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a00e]=4b      |eax:0040a00e, ebx:7ffdd000, ecx:00000047, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a00e, ebx:7ffdd000, ecx:0000004b, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a00e, ebx:7ffdd000, ecx:0000004b, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=0000000e|eax:0040a00e, ebx:7ffdd000, ecx:0000004b, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a00e, ebx:7ffdd000, ecx:0000004b, edx:0000000e, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=0000000f|eax:0040a00e, ebx:7ffdd000, ecx:0000004b, edx:0000000f, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
